title,artist,genre,tempo,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness,top_year,artist_type
It's a Beautiful Day,Michael Bublé,singer-songwriter,144,80,53,-4,30,78,199,6,4,2013,Solo
Jumanji,B Young,hip hop,96,47,79,-10,10,60,173,28,25,2018,Solo
German,EO,hip hop,103,58,86,-6,19,85,171,81,7,2018,Solo
Make Me Feel,Janelle Monáe,hip hop,115,41,86,-7,33,70,194,13,18,2018,Solo
Bad Vibe,M.O,hip hop,110,70,81,-4,10,76,214,18,4,2018,Band/Group
Options,NSG,hip hop,102,62,84,-5,10,76,240,39,9,2019,Band/Group
Strike a Pose (feat. Aitch),Young T & Bugsey,hip hop,138,58,53,-6,10,59,214,1,10,2019,Duo
When We Stand Together,Nickelback,alternative,188,90,45,-4,4,88,191,0,5,2011,Band/Group
Lost,Frank Ocean,alternative,123,60,91,-5,17,50,234,3,23,2012,Solo
Thinkin Bout You,Frank Ocean,alternative,130,34,72,-11,10,20,201,41,5,2012,Solo
BURN IT DOWN,Linkin Park,alternative,110,97,59,-4,7,59,230,1,5,2012,Band/Group
Take a Walk,Passion Pit,alternative,101,76,57,-6,32,45,264,3,4,2012,Band/Group
2 On (feat. ScHoolboy Q),Tinashe,alternative,101,60,74,-8,11,43,227,15,11,2014,Solo
Closer,Lemaitre,alternative,92,79,58,-4,12,36,271,0,3,2015,Duo
Hurts So Good,Astrid S,alternative,120,63,67,-5,9,42,209,8,5,2016,Solo
"Sit Still, Look Pretty",Daya,alternative,182,74,66,-4,11,54,202,14,27,2016,Solo
Hide Away,Daya,alternative,95,80,89,-5,7,46,192,23,8,2016,Solo
Pink + White,Frank Ocean,alternative,160,55,54,-7,42,55,185,67,10,2016,Solo
Gold,Kiiara,alternative,113,41,60,-9,13,41,226,62,34,2016,Solo
History,Olivia Holt,alternative,101,63,77,-7,12,54,204,10,5,2016,Solo
Lost Boy,Ruth B.,alternative,124,6,71,-15,9,35,275,97,5,2016,Solo
Little Dark Age,MGMT,alternative,98,71,71,-6,10,62,300,1,4,2017,Band/Group
Chameleon,PNAU,alternative,120,93,72,-3,30,20,198,0,4,2017,Trio
Broccoli,Shelley FKA DRAM,alternative,146,53,89,-7,6,71,225,24,13,2017,Solo
Let's Fall in Love for the Night,FINNEAS,alternative,128,41,74,-8,17,37,190,80,10,2018,Solo
1950,King Princess,alternative,72,54,60,-7,16,27,225,65,11,2018,Solo
We No Speak Americano (Edit),Yolanda Be Cool,electronic,125,81,90,-5,9,75,157,7,5,2010,Duo
Chandelier,Sia,electronic,117,79,40,-3,7,57,216,2,5,2014,Solo
Elastic Heart,Sia,electronic,130,79,42,-5,15,50,257,1,5,2014,Solo
Say It (feat. Tove Lo),Flume,electronic,75,53,60,-7,6,26,263,7,3,2016,Solo
The Greatest (feat. Kendrick Lamar),Sia,electronic,192,73,67,-6,6,73,210,1,27,2016,Solo
Cheap Thrills (feat. Sean Paul),Sia,electronic,90,80,59,-5,8,73,225,6,22,2016,Solo
The Less I Know The Better,Tame Impala,electronic,117,74,64,-4,17,79,216,1,3,2015,Band/Group
Answerphone (feat. Yxng Bane),Banx & Ranx,electronic,113,83,67,-4,45,45,191,4,9,2018,Duo
Memories (feat. Kid Cudi),David Guetta,big room,130,87,56,-6,25,50,210,0,34,2010,Solo
Gettin' Over You (feat. Fergie & LMFAO),David Guetta,big room,130,91,62,-5,8,45,188,18,8,2010,Solo
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,big room,130,87,66,-3,23,56,210,3,4,2011,Solo
Who's That Chick? (feat. Rihanna),David Guetta,big room,128,60,68,-5,5,93,201,0,12,2011,Solo
Turn Me On (feat. Nicki Minaj),David Guetta,big room,128,79,71,-2,57,41,200,5,6,2012,Solo
Get Up (Rattle),Bingo Players,big room,128,98,80,-3,26,80,167,2,7,2013,Duo
Play Hard (feat. Ne-Yo & Akon),David Guetta,big room,130,92,69,-2,33,80,201,17,5,2013,Solo
Bad (feat. Vassy) - Radio Edit,David Guetta,big room,128,97,61,-4,33,41,171,0,9,2014,Solo
Lovers on the Sun (feat. Sam Martin),David Guetta,big room,125,89,65,-3,38,57,204,9,4,2014,Solo
Wasted,Tiësto,big room,112,82,64,-6,20,39,190,0,3,2014,Solo
Red Lights,Tiësto,big room,125,83,65,-5,12,55,262,0,4,2014,Solo
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),David Guetta,big room,110,92,37,-3,9,37,207,0,5,2016,Solo
Jackie Chan,Tiësto,big room,128,83,75,-3,6,69,216,37,5,2018,Solo
The Git Up,Blanco Brown,r&b,98,68,85,-9,27,81,201,7,11,2019,Solo
Good as You,Kane Brown,r&b,154,52,63,-6,14,77,192,40,4,2019,Solo
The Flood,Take That,boy band,101,83,51,-6,12,14,289,4,4,2010,Band/Group
All Time Low,The Wanted,boy band,134,62,69,-5,8,79,205,35,5,2010,Band/Group
Glad You Came,The Wanted,boy band,127,85,72,-4,11,45,198,3,6,2011,Band/Group
What Makes You Beautiful,One Direction,boy band,125,79,73,-2,6,89,200,1,7,2012,Band/Group
Live While We're Young,One Direction,boy band,126,86,66,-2,14,93,200,5,5,2012,Band/Group
Chasing The Sun,The Wanted,boy band,128,73,64,-6,50,68,199,24,10,2012,Band/Group
Best Song Ever,One Direction,boy band,118,88,65,-3,8,49,200,2,5,2013,Band/Group
One Way or Another (Teenage Kicks),One Direction,boy band,162,87,49,-3,59,41,157,3,7,2013,Band/Group
She Looks So Perfect,5 Seconds of Summer,boy band,160,95,49,-4,33,44,202,0,13,2014,Band/Group
Amnesia,5 Seconds of Summer,boy band,102,50,57,-5,21,11,237,3,3,2014,Band/Group
Night Changes,One Direction,boy band,120,52,67,-8,12,37,227,86,4,2014,Band/Group
Steal My Girl,One Direction,boy band,77,77,54,-6,11,55,228,0,3,2014,Band/Group
Drag Me Down,One Direction,boy band,138,70,73,-6,7,60,192,11,4,2015,Band/Group
Perfect,One Direction,boy band,100,82,65,-5,12,40,230,6,8,2015,Band/Group
History,One Direction,boy band,87,70,66,-4,6,80,187,4,5,2016,Band/Group
All Night,The Vamps,boy band,145,80,54,-5,33,51,198,0,4,2017,Duo
Middle Of The Night,The Vamps,boy band,130,75,59,-4,8,40,175,0,6,2017,Duo
Youngblood,5 Seconds of Summer,boy band,120,85,60,-5,12,15,203,2,46,2018,Band/Group
Easier,5 Seconds of Summer,boy band,176,46,56,-4,11,62,158,48,26,2019,Band/Group
Sucker,Jonas Brothers,boy band,138,73,84,-5,11,95,181,4,6,2019,Band/Group
Only Human,Jonas Brothers,boy band,94,50,80,-6,6,87,183,11,7,2019,Band/Group
Rolling in the Deep,Adele,singer-songwriter,105,77,73,-5,5,51,228,14,3,2011,Solo
Set Fire to the Rain,Adele,singer-songwriter,108,67,60,-4,11,45,243,0,2,2011,Solo
Skyfall,Adele,singer-songwriter,76,55,35,-7,11,8,286,42,3,2012,Solo
Rumour Has It,Adele,singer-songwriter,120,75,61,-5,17,57,223,62,4,2012,Solo
Only Love Can Hurt Like This,Paloma Faith,singer-songwriter,91,89,57,-5,33,30,233,10,8,2014,Solo
When We Were Young,Adele,singer-songwriter,144,60,38,-6,10,27,291,30,5,2016,Solo
Send My Love (To Your New Lover),Adele,singer-songwriter,164,53,69,-8,17,57,223,4,9,2016,Solo
Hello,Adele,singer-songwriter,79,43,58,-6,9,29,296,33,3,2016,Solo
Bangarang (feat. Sirah),Skrillex,electronic,110,97,72,-2,32,58,215,1,20,2012,Solo
Alone,Marshmello,electronic,142,95,63,-4,11,42,274,2,3,2016,Solo
Happier,Marshmello,electronic,100,79,69,-3,17,67,214,19,5,2018,Solo
Silence,Marshmello,electronic,142,76,52,-3,17,29,181,26,9,2018,Solo
FRIENDS,Marshmello,electronic,95,88,63,-2,13,53,203,21,5,2018,Solo
Spotlight,Marshmello,electronic,150,82,55,-4,74,62,178,1,15,2018,Solo
Here With Me,Marshmello,electronic,100,56,79,-4,16,18,156,6,4,2019,Solo
One Thing Right,Marshmello,electronic,88,63,66,-2,58,44,182,6,5,2019,Solo
What About Us,The Saturdays,electronic,124,68,70,-5,21,69,221,1,6,2013,Band/Group
The Fox (What Does the Fox Say?),Ylvis,other,128,87,70,-4,12,55,214,11,5,2013,Duo
Clarity,Zedd,electronic,128,78,51,-3,7,18,271,4,7,2013,Solo
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,electronic,128,74,60,-3,9,46,217,11,4,2014,Solo
I Want You To Know,Zedd,electronic,130,85,58,-3,14,37,240,1,6,2015,Solo
Stay,Zedd,electronic,102,62,69,-5,12,54,210,25,6,2017,Solo
The Middle,Zedd,electronic,107,66,75,-3,11,44,185,17,4,2018,Solo
Stuck Like Glue,Sugarland,contemporary country,84,80,70,-5,5,84,248,33,6,2010,Duo
If I Die Young,The Band Perry,contemporary country,131,50,61,-7,28,36,223,35,3,2010,Band/Group
Honey Bee,Blake Shelton,contemporary country,206,85,48,-5,12,72,211,0,4,2011,Solo
Springsteen,Eric Church,contemporary country,104,81,69,-6,19,93,263,10,3,2011,Solo
Dirt Road Anthem,Jason Aldean,contemporary country,127,74,68,-5,12,64,229,35,4,2011,Solo
Just A Kiss,Lady A,contemporary country,143,64,59,-6,10,33,219,45,3,2011,Band/Group
If I Die Young,The Band Perry,contemporary country,131,50,61,-7,28,36,223,35,3,2011,Band/Group
Blown Away,Carrie Underwood,contemporary country,137,84,53,-3,3,39,240,9,4,2012,Solo
Sure Be Cool If You Did,Blake Shelton,contemporary country,137,73,58,-5,11,58,216,26,4,2013,Solo
Cruise,Florida Georgia Line,contemporary country,148,95,46,-3,5,88,209,2,4,2013,Duo
Die A Happy Man,Thomas Rhett,contemporary country,166,39,60,-9,12,40,227,42,3,2015,Solo
Tequila,Dan + Shay,contemporary country,86,58,49,-6,13,49,197,3,3,2018,Duo
Simple,Florida Georgia Line,contemporary country,200,88,36,-4,15,86,185,8,10,2018,Duo
You Make It Easy,Jason Aldean,contemporary country,132,57,38,-5,11,41,197,14,3,2018,Solo
STARSTRUKK (feat. Katy Perry),3OH!3,dance pop,140,81,61,-6,23,23,203,0,6,2010,Duo
My First Kiss (feat. Ke$ha),3OH!3,dance pop,138,89,68,-4,36,83,192,1,8,2010,Duo
The Time (Dirty Bit),Black Eyed Peas,dance pop,128,81,82,-8,60,44,308,7,7,2010,Band/Group
Imma Be,Black Eyed Peas,dance pop,92,52,60,-7,31,41,258,18,37,2010,Band/Group
Talking to the Moon,Bruno Mars,dance pop,146,59,50,-5,11,8,218,51,3,2010,Solo
Just the Way You Are,Bruno Mars,dance pop,109,84,64,-5,6,42,221,1,4,2010,Solo
Deuces (feat. Tyga & Kevin McCall),Chris Brown,dance pop,74,74,69,-5,8,22,277,3,11,2010,Solo
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",DJ Khaled,dance pop,150,78,54,-4,16,28,233,1,19,2010,Solo
Starry Eyed,Ellie Goulding,dance pop,150,81,50,-5,32,60,177,14,4,2010,Solo
I Like It,Enrique Iglesias,dance pop,129,94,65,-3,7,70,232,2,8,2010,Solo
Kickstarts,Example,dance pop,126,84,61,-4,36,66,182,0,6,2010,Solo
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,128,87,62,-4,6,47,235,3,3,2010,Solo
Hot - Malibu Breeze Radio Edit,INNA,dance pop,128,71,81,-8,26,51,224,6,14,2010,Solo
Replay,Iyaz,dance pop,91,75,71,-6,17,20,182,17,7,2010,Solo
Whatcha Say,Jason Derulo,dance pop,144,71,62,-6,14,71,221,4,8,2010,Solo
Ridin' Solo,Jason Derulo,dance pop,89,83,44,-4,13,58,216,13,15,2010,Solo
In My Head,Jason Derulo,dance pop,110,75,76,-4,35,85,199,3,3,2010,Solo
Down,Jay Sean,dance pop,132,68,73,-4,8,73,213,1,3,2010,Solo
Do You Remember,Jay Sean,dance pop,126,67,85,-5,10,82,211,2,7,2010,Solo
California Gurls,Katy Perry,dance pop,125,75,79,-4,16,43,235,0,6,2010,Solo
Teenage Dream,Katy Perry,dance pop,120,80,72,-5,13,59,228,2,4,2010,Solo
TiK ToK,Kesha,dance pop,120,84,76,-3,29,71,200,10,14,2010,Solo
Your Love Is My Drug,Kesha,dance pop,120,61,83,-4,9,76,187,1,10,2010,Solo
Take It Off,Kesha,dance pop,125,68,73,-5,9,74,215,0,3,2010,Solo
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,120,84,75,-3,42,52,172,8,12,2010,Solo
Cooler Than Me - Single Mix,Mike Posner,dance pop,130,82,77,-5,69,63,213,18,5,2010,Solo
Can't Be Tamed,Miley Cyrus,dance pop,117,91,63,-3,20,74,168,3,14,2010,Solo
This Ain't a Love Song,Scouting For Girls,dance pop,177,91,46,-4,38,55,211,0,5,2010,Band/Group
Eenie Meenie,Sean Kingston,dance pop,121,64,73,-3,10,84,202,3,3,2010,Solo
One - Radio Edit,Swedish House Mafia,dance pop,125,78,80,-7,15,62,170,1,4,2010,Band/Group
Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah,Swedish House Mafia,dance pop,125,93,74,-6,40,66,206,0,7,2010,Band/Group
Dynamite,Taio Cruz,dance pop,120,78,75,-4,4,82,203,0,9,2010,Solo
Break Your Heart,Taio Cruz,dance pop,122,93,61,-4,9,57,202,3,3,2010,Solo
Carry Out (Featuring Justin Timberlake),Timbaland,dance pop,116,57,53,-7,26,27,232,11,11,2010,Solo
